SystemCodeNumber,Capacity,Occupancy,LastUpdated,Normalized
BHMBCCMKT01,577,145,10/7/2016 16:00,0.228454388
BHMBCCMKT01,577,95,10/7/2016 16:30,0.149677012
BHMBCCMKT01,577,59.5,10/8/2016 8:00,0.093745077
BHMBCCMKT01,577,68,10/8/2016 8:30,0.107137231
BHMBCCMKT01,577,84.66666667,10/8/2016 9:00,0.133396355
BHMBCCMKT01,577,94.33333333,10/8/2016 9:30,0.148626648
BHMBCCMKT01,577,131,10/8/2016 10:00,0.206396723
BHMBCCMKT01,577,207,10/8/2016 10:30,0.326138333
BHMBCCMKT01,577,238.5,10/8/2016 11:00,0.37576808
BHMBCCMKT01,577,271.3333333,10/8/2016 11:30,0.427498556
BHMBCCMKT01,577,288.6666667,10/8/2016 12:00,0.454808046
BHMBCCMKT01,577,313,10/8/2016 12:30,0.493146369
BHMBCCMKT01,577,334,10/8/2016 13:00,0.526232866
BHMBCCMKT01,577,369.6666667,10/8/2016 13:30,0.582427393
BHMBCCMKT01,577,382.3333333,10/8/2016 14:00,0.602384329
BHMBCCMKT01,577,397.5,10/8/2016 14:30,0.626280133
BHMBCCMKT01,577,398.6666667,10/8/2016 15:00,0.628118271
BHMBCCMKT01,577,402.3333333,10/8/2016 15:30,0.633895279
BHMBCCMKT01,577,393.5,10/8/2016 16:00,0.619977943
BHMBCCMKT01,577,257.3333333,10/8/2016 16:30,0.405440891
BHMBCCMKT01,577,149.6666667,10/9/2016 8:00,0.235806943
BHMBCCMKT01,577,42.33333333,10/9/2016 8:30,0.066698178
BHMBCCMKT01,577,42.66666667,10/9/2016 9:00,0.06722336
BHMBCCMKT01,577,43,10/9/2016 9:30,0.067748543
BHMBCCMKT01,577,57,10/9/2016 10:00,0.089806208
BHMBCCMKT01,577,76,10/9/2016 10:30,0.11974161
BHMBCCMKT01,577,88,10/9/2016 11:00,0.13864818
BHMBCCMKT01,577,137,10/9/2016 11:30,0.215850008
BHMBCCMKT01,577,155.3333333,10/9/2016 12:00,0.244735045
BHMBCCMKT01,577,162.6666667,10/9/2016 12:30,0.25628906
BHMBCCMKT01,577,179.5,10/9/2016 13:00,0.282810776
BHMBCCMKT01,577,206,10/9/2016 13:30,0.324562786
BHMBCCMKT01,577,207,10/9/2016 14:00,0.326138333
BHMBCCMKT01,577,203,10/9/2016 14:30,0.319836143
BHMBCCMKT01,577,197,10/9/2016 15:00,0.310382858
BHMBCCMKT01,577,185.5,10/9/2016 15:30,0.292264062
BHMBCCMKT01,577,167.5,10/9/2016 16:00,0.263904207
BHMBCCMKT01,577,106.6666667,10/9/2016 16:30,0.1680584
BHMBCCMKT01,577,80.33333333,10/10/2016 8:00,0.126568983
BHMBCCMKT01,577,59,10/10/2016 8:30,0.092957303
BHMBCCMKT01,577,62,10/10/2016 9:00,0.097683945
BHMBCCMKT01,577,69,10/10/2016 9:30,0.108712778
BHMBCCMKT01,577,82.5,10/10/2016 10:00,0.129982669
BHMBCCMKT01,577,128.5,10/10/2016 10:30,0.202457854
BHMBCCMKT01,577,146.5,10/10/2016 11:00,0.230817709
BHMBCCMKT01,577,154,10/10/2016 11:30,0.242634316
BHMBCCMKT01,577,163,10/10/2016 12:00,0.256814243
BHMBCCMKT01,577,167,10/10/2016 12:30,0.263116433
BHMBCCMKT01,577,173.5,10/10/2016 13:00,0.273357492
BHMBCCMKT01,577,168.3333333,10/10/2016 13:30,0.265217163
BHMBCCMKT01,577,164.6666667,10/10/2016 14:00,0.259440155
BHMBCCMKT01,577,145.5,10/10/2016 14:30,0.229242161
BHMBCCMKT01,577,134.3333333,10/10/2016 15:00,0.211648548
BHMBCCMKT01,577,131.6666667,10/10/2016 15:30,0.207447088
BHMBCCMKT01,577,122,10/10/2016 16:00,0.192216795
BHMBCCMKT01,577,94.66666667,10/10/2016 16:30,0.14915183
BHMBCCMKT01,577,75.33333333,10/11/2016 8:00,0.118691245
BHMBCCMKT01,577,69,10/11/2016 8:30,0.108712778
BHMBCCMKT01,577,80.33333333,10/11/2016 9:00,0.126568983
BHMBCCMKT01,577,86.66666667,10/11/2016 9:30,0.13654745
BHMBCCMKT01,577,148,10/11/2016 10:00,0.233181031
BHMBCCMKT01,577,183.5,10/11/2016 10:30,0.289112967
BHMBCCMKT01,577,209.5,10/11/2016 11:00,0.330077202
BHMBCCMKT01,577,221,10/11/2016 11:30,0.348195998
BHMBCCMKT01,577,223,10/11/2016 12:00,0.351347093
BHMBCCMKT01,577,223,10/11/2016 12:30,0.351347093
BHMBCCMKT01,577,219,10/11/2016 13:00,0.345044903
BHMBCCMKT01,577,217,10/11/2016 13:30,0.341893808
BHMBCCMKT01,577,212.5,10/11/2016 14:00,0.334803845
BHMBCCMKT01,577,183,10/11/2016 14:30,0.288325193
BHMBCCMKT01,577,175,10/11/2016 15:00,0.275720813
BHMBCCMKT01,577,163,10/11/2016 15:30,0.256814243
BHMBCCMKT01,577,154.5,10/11/2016 16:00,0.243422089
BHMBCCMKT01,577,101.6666667,10/11/2016 16:30,0.160180663
BHMBCCMKT01,577,76.33333333,10/12/2016 8:00,0.120266793
BHMBCCMKT01,577,54,10/12/2016 8:30,0.085079566
BHMBCCMKT01,577,60.5,10/12/2016 9:00,0.095320624
BHMBCCMKT01,577,81.66666667,10/12/2016 9:30,0.128669713
BHMBCCMKT01,577,90.33333333,10/12/2016 10:00,0.142324458
BHMBCCMKT01,577,105.5,10/12/2016 10:30,0.166220262
BHMBCCMKT01,577,119.5,10/12/2016 11:00,0.188277927
BHMBCCMKT01,577,127.5,10/12/2016 11:30,0.200882307
BHMBCCMKT01,577,135.5,10/12/2016 12:00,0.213486687
BHMBCCMKT01,577,150.5,10/12/2016 12:30,0.237119899
BHMBCCMKT01,577,157.5,10/12/2016 13:00,0.248148732
BHMBCCMKT01,577,160.5,10/12/2016 13:30,0.252875374
BHMBCCMKT01,577,165.5,10/12/2016 14:00,0.260753112
BHMBCCMKT01,577,163,10/12/2016 14:30,0.256814243
BHMBCCMKT01,577,149.5,10/12/2016 15:00,0.235544352
BHMBCCMKT01,577,134,10/12/2016 15:30,0.211123365
BHMBCCMKT01,577,117.6666667,10/12/2016 16:00,0.185389423
BHMBCCMKT01,577,114.3333333,10/12/2016 16:30,0.180137598
BHMBCCMKT01,577,60.33333333,10/13/2016 8:00,0.095058033
BHMBCCMKT01,577,62.66666667,10/13/2016 8:30,0.09873431
BHMBCCMKT01,577,70.5,10/13/2016 9:00,0.111076099
BHMBCCMKT01,577,86.5,10/13/2016 9:30,0.136284859
BHMBCCMKT01,577,140,10/13/2016 10:00,0.22057665
BHMBCCMKT01,577,153,10/13/2016 10:30,0.241058768
BHMBCCMKT01,577,183,10/13/2016 11:00,0.288325193
BHMBCCMKT01,577,210,10/13/2016 11:30,0.330864976
BHMBCCMKT01,577,230.3333333,10/13/2016 12:00,0.362901108
BHMBCCMKT01,577,230.6666667,10/13/2016 12:30,0.363426291
BHMBCCMKT01,577,222.5,10/13/2016 13:00,0.350559319
BHMBCCMKT01,577,208.5,10/13/2016 13:30,0.328501655
BHMBCCMKT01,577,197,10/13/2016 14:00,0.310382858
BHMBCCMKT01,577,189,10/13/2016 14:30,0.297778478
BHMBCCMKT01,577,171.5,10/13/2016 15:00,0.270206397
BHMBCCMKT01,577,153,10/13/2016 15:30,0.241058768
BHMBCCMKT01,577,138,10/13/2016 16:00,0.217425555
BHMBCCMKT01,577,131,10/13/2016 16:30,0.206396723
BHMBCCMKT01,577,91.5,10/14/2016 8:00,0.144162597
BHMBCCMKT01,577,60.33333333,10/14/2016 8:30,0.095058033
BHMBCCMKT01,577,63.66666667,10/14/2016 9:00,0.100309858
BHMBCCMKT01,577,111.3333333,10/14/2016 9:30,0.175410955
BHMBCCMKT01,577,122.6666667,10/14/2016 10:00,0.19326716
BHMBCCMKT01,577,173,10/14/2016 10:30,0.272569718
BHMBCCMKT01,577,189,10/14/2016 11:00,0.297778478
BHMBCCMKT01,577,221.3333333,10/14/2016 11:30,0.348721181
BHMBCCMKT01,577,222.6666667,10/14/2016 12:00,0.350821911
BHMBCCMKT01,577,210.3333333,10/14/2016 12:30,0.331390158
BHMBCCMKT01,577,207.6666667,10/14/2016 13:00,0.327188698
BHMBCCMKT01,577,194.6666667,10/14/2016 13:30,0.306706581
BHMBCCMKT01,577,188.3333333,10/14/2016 14:00,0.296728113
BHMBCCMKT01,577,178,10/14/2016 14:30,0.280447456
BHMBCCMKT01,577,172.5,10/14/2016 15:00,0.271781944
BHMBCCMKT01,577,153.3333333,10/14/2016 15:30,0.24158395
BHMBCCMKT01,577,145.6666667,10/14/2016 16:00,0.229504753
BHMBCCMKT01,577,136,10/14/2016 16:30,0.21427446
BHMBCCMKT01,577,93.5,10/15/2016 8:00,0.147313692
BHMBCCMKT01,577,58,10/15/2016 8:30,0.091381756
BHMBCCMKT01,577,70,10/15/2016 9:00,0.110288326
BHMBCCMKT01,577,118.6666667,10/15/2016 9:30,0.18696497
BHMBCCMKT01,577,136.3333333,10/15/2016 10:00,0.214799643
BHMBCCMKT01,577,184.3333333,10/15/2016 10:30,0.290425923
BHMBCCMKT01,577,197.6666667,10/15/2016 11:00,0.311433223
BHMBCCMKT01,577,251.3333333,10/15/2016 11:30,0.395987606
BHMBCCMKT01,577,263.6666667,10/15/2016 12:00,0.415419358
BHMBCCMKT01,577,308.6666667,10/15/2016 12:30,0.486318996
BHMBCCMKT01,577,320.3333333,10/15/2016 13:00,0.504700383
BHMBCCMKT01,577,342,10/15/2016 13:30,0.538837246
BHMBCCMKT01,577,371.5,10/15/2016 14:00,0.585315898
BHMBCCMKT01,577,420,10/15/2016 14:30,0.661729951
BHMBCCMKT01,577,431,10/15/2016 15:00,0.679060974
BHMBCCMKT01,577,422.6666667,10/15/2016 15:30,0.665931411
BHMBCCMKT01,577,417.3333333,10/15/2016 16:00,0.657528491
BHMBCCMKT01,577,278,10/15/2016 16:30,0.438002206
BHMBCCMKT01,577,163,10/16/2016 8:00,0.256814243
BHMBCCMKT01,577,50.33333333,10/16/2016 8:30,0.079302558
BHMBCCMKT01,577,52.66666667,10/16/2016 9:00,0.082978835
BHMBCCMKT01,577,57,10/16/2016 9:30,0.089806208
BHMBCCMKT01,577,57,10/16/2016 10:00,0.089806208
BHMBCCMKT01,577,56.5,10/16/2016 10:30,0.089018434
BHMBCCMKT01,577,56,10/16/2016 11:00,0.08823066
BHMBCCMKT01,577,59,10/16/2016 11:30,0.092957303
BHMBCCMKT01,577,62,10/16/2016 12:00,0.097683945
BHMBCCMKT01,577,113.6666667,10/16/2016 12:30,0.179087233
BHMBCCMKT01,577,122.3333333,10/16/2016 13:00,0.192741978
BHMBCCMKT01,577,154,10/16/2016 13:30,0.242634315
BHMBCCMKT01,577,162,10/16/2016 14:00,0.255238695
BHMBCCMKT01,577,184,10/16/2016 14:30,0.28990074
BHMBCCMKT01,577,188,10/16/2016 15:00,0.296202931
BHMBCCMKT01,577,188.5,10/16/2016 15:30,0.296990705
BHMBCCMKT01,577,166.6666667,10/16/2016 16:00,0.26259125
BHMBCCMKT01,577,160.3333333,10/16/2016 16:30,0.252612783
BHMBCCMKT01,577,102,10/17/2016 8:00,0.160705845
BHMBCCMKT01,577,58,10/17/2016 8:30,0.091381755
BHMBCCMKT01,577,62,10/17/2016 9:00,0.097683945
BHMBCCMKT01,577,88,10/17/2016 9:30,0.13864818
BHMBCCMKT01,577,100,10/17/2016 10:00,0.15755475
BHMBCCMKT01,577,115.5,10/17/2016 10:30,0.181975737
BHMBCCMKT01,577,131.5,10/17/2016 11:00,0.207184497
BHMBCCMKT01,577,148.5,10/17/2016 11:30,0.233968804
BHMBCCMKT01,577,156,10/17/2016 12:00,0.245785411
BHMBCCMKT01,577,156.5,10/17/2016 12:30,0.246573184
BHMBCCMKT01,577,155,10/17/2016 13:00,0.244209863
BHMBCCMKT01,577,156,10/17/2016 13:30,0.24578541
BHMBCCMKT01,577,159,10/17/2016 14:00,0.250512053
BHMBCCMKT01,577,154,10/17/2016 14:30,0.242634316
BHMBCCMKT01,577,129,10/17/2016 15:00,0.203245628
BHMBCCMKT01,577,125,10/17/2016 15:30,0.196943438
BHMBCCMKT01,577,112.5,10/17/2016 16:00,0.177249094
BHMBCCMKT01,577,92.33333333,10/17/2016 16:30,0.145475553
BHMBCCMKT01,577,74.66666667,10/18/2016 8:00,0.11764088
BHMBCCMKT01,577,64,10/18/2016 8:30,0.10083504
BHMBCCMKT01,577,68,10/18/2016 9:00,0.10713723
BHMBCCMKT01,577,109,10/18/2016 9:30,0.171734678
BHMBCCMKT01,577,127,10/18/2016 10:00,0.200094533
BHMBCCMKT01,577,192,10/18/2016 10:30,0.30250512
BHMBCCMKT01,577,206,10/18/2016 11:00,0.324562786
BHMBCCMKT01,577,229,10/18/2016 11:30,0.360800378
BHMBCCMKT01,577,230,10/18/2016 12:00,0.362375926
BHMBCCMKT01,577,228.3333333,10/18/2016 12:30,0.359750013
BHMBCCMKT01,577,232.6666667,10/18/2016 13:00,0.366577386
BHMBCCMKT01,577,226.5,10/18/2016 13:30,0.35686151
BHMBCCMKT01,577,213,10/18/2016 14:00,0.335591619
BHMBCCMKT01,577,188.3333333,10/18/2016 14:30,0.296728113
BHMBCCMKT01,577,176.6666667,10/18/2016 15:00,0.278346726
BHMBCCMKT01,577,153,10/18/2016 15:30,0.241058768
BHMBCCMKT01,577,136.5,10/18/2016 16:00,0.215062234
BHMBCCMKT01,577,99,10/18/2016 16:30,0.155979203
BHMBCCMKT01,577,74,10/19/2016 8:00,0.116590515
BHMBCCMKT01,577,55,10/19/2016 8:30,0.086655113
BHMBCCMKT01,577,64.66666667,10/19/2016 9:00,0.101885405
BHMBCCMKT01,577,70.33333333,10/19/2016 9:30,0.110813508
BHMBCCMKT01,577,120,10/19/2016 10:00,0.189065701
BHMBCCMKT01,577,145.5,10/19/2016 10:30,0.229242162
BHMBCCMKT01,577,166.5,10/19/2016 11:00,0.262328659
BHMBCCMKT01,577,179,10/19/2016 11:30,0.282023003
BHMBCCMKT01,577,176,10/19/2016 12:00,0.277296361
BHMBCCMKT01,577,168,10/19/2016 12:30,0.264691981
BHMBCCMKT01,577,166,10/19/2016 13:00,0.261540886
BHMBCCMKT01,577,164,10/19/2016 13:30,0.258389791
BHMBCCMKT01,577,159.3333333,10/19/2016 14:00,0.251037235
BHMBCCMKT01,577,157.6666667,10/19/2016 14:30,0.248411323
BHMBCCMKT01,577,138.3333333,10/19/2016 15:00,0.217950738
BHMBCCMKT01,577,132.6666667,10/19/2016 15:30,0.209022635
BHMBCCMKT01,577,113.5,10/19/2016 16:00,0.178824642
BHMBCCMKT01,577,83.5,10/19/2016 16:30,0.131558217
BHMBCCMKT01,577,58,10/22/2016 8:00,0.091381756
BHMBCCMKT01,577,65.5,10/22/2016 8:30,0.103198362
BHMBCCMKT01,577,82.5,10/22/2016 9:00,0.129982669
BHMBCCMKT01,577,111.5,10/22/2016 9:30,0.175673547
BHMBCCMKT01,577,143,10/22/2016 10:00,0.225303293
BHMBCCMKT01,577,177,10/22/2016 10:30,0.278871908
BHMBCCMKT01,577,211.6666667,10/22/2016 11:00,0.333490888
BHMBCCMKT01,577,225.3333333,10/22/2016 11:30,0.355023371
BHMBCCMKT01,577,282,10/22/2016 12:00,0.444304396
BHMBCCMKT01,577,303,10/22/2016 12:30,0.477390893
BHMBCCMKT01,577,366,10/22/2016 13:00,0.576650386
BHMBCCMKT01,577,373,10/22/2016 13:30,0.587679218
BHMBCCMKT01,577,415.3333333,10/22/2016 14:00,0.654377396
BHMBCCMKT01,577,422.6666667,10/22/2016 14:30,0.665931411
BHMBCCMKT01,577,413.5,10/22/2016 15:00,0.651488893
BHMBCCMKT01,577,393.5,10/22/2016 15:30,0.619977943
BHMBCCMKT01,577,362,10/22/2016 16:00,0.570348196
BHMBCCMKT01,577,193.5,10/22/2016 16:30,0.304868442
BHMBCCMKT01,577,47.5,10/23/2016 8:00,0.074838507
BHMBCCMKT01,577,49.5,10/23/2016 8:30,0.077989602
BHMBCCMKT01,577,50.5,10/23/2016 9:00,0.079565149
BHMBCCMKT01,577,52,10/23/2016 9:30,0.08192847
BHMBCCMKT01,577,57,10/23/2016 10:00,0.089806208
BHMBCCMKT01,577,70,10/23/2016 10:30,0.110288325
BHMBCCMKT01,577,93.5,10/23/2016 11:00,0.147313692
BHMBCCMKT01,577,116,10/23/2016 11:30,0.182763511
BHMBCCMKT01,577,134.5,10/23/2016 12:00,0.211911139
BHMBCCMKT01,577,154.3333333,10/23/2016 12:30,0.243159498
BHMBCCMKT01,577,164.6666667,10/23/2016 13:00,0.259440155
BHMBCCMKT01,577,203.5,10/23/2016 13:30,0.320623917
BHMBCCMKT01,577,220.5,10/23/2016 14:00,0.347408225
BHMBCCMKT01,577,222.5,10/23/2016 14:30,0.350559319
BHMBCCMKT01,577,217,10/23/2016 15:00,0.341893808
BHMBCCMKT01,577,197,10/23/2016 15:30,0.310382858
BHMBCCMKT01,577,164.5,10/23/2016 16:00,0.259177564
BHMBCCMKT01,577,98.5,10/23/2016 16:30,0.155191429
BHMBCCMKT01,577,51,10/24/2016 8:00,0.080352923
BHMBCCMKT01,577,57.33333333,10/24/2016 8:30,0.09033139
BHMBCCMKT01,577,59.66666667,10/24/2016 9:00,0.094007668
BHMBCCMKT01,577,67.5,10/24/2016 9:30,0.106349457
BHMBCCMKT01,577,100.5,10/24/2016 10:00,0.158342524
BHMBCCMKT01,577,121.6666667,10/24/2016 10:30,0.191691613
BHMBCCMKT01,577,129.3333333,10/24/2016 11:00,0.20377081
BHMBCCMKT01,577,161,10/24/2016 11:30,0.253663148
BHMBCCMKT01,577,167,10/24/2016 12:00,0.263116433
BHMBCCMKT01,577,182,10/24/2016 12:30,0.286749646
BHMBCCMKT01,577,203,10/24/2016 13:00,0.319836144
BHMBCCMKT01,577,213.5,10/24/2016 13:30,0.336379392
BHMBCCMKT01,577,217,10/24/2016 14:00,0.341893808
BHMBCCMKT01,577,212,10/24/2016 14:30,0.334016071
BHMBCCMKT01,577,209,10/24/2016 15:00,0.329289428
BHMBCCMKT01,577,209,10/24/2016 15:30,0.329289428
BHMBCCMKT01,577,186.3333333,10/24/2016 16:00,0.293577018
BHMBCCMKT01,577,180.6666667,10/24/2016 16:30,0.284648916
BHMBCCMKT01,577,114.5,10/25/2016 8:00,0.180400189
BHMBCCMKT01,577,68.5,10/25/2016 8:30,0.107925004
BHMBCCMKT01,577,88.5,10/25/2016 9:00,0.139435954
BHMBCCMKT01,577,112,10/25/2016 9:30,0.176461321
BHMBCCMKT01,577,151,10/25/2016 10:00,0.237907673
BHMBCCMKT01,577,187.5,10/25/2016 10:30,0.295415157
BHMBCCMKT01,577,225.5,10/25/2016 11:00,0.355285962
BHMBCCMKT01,577,262.6666667,10/25/2016 11:30,0.413843811
BHMBCCMKT01,577,276.3333333,10/25/2016 12:00,0.435376293
BHMBCCMKT01,577,312.3333333,10/25/2016 12:30,0.492096003
BHMBCCMKT01,577,321.6666667,10/25/2016 13:00,0.506801113
BHMBCCMKT01,577,354,10/25/2016 13:30,0.557743816
BHMBCCMKT01,577,364,10/25/2016 14:00,0.573499292
BHMBCCMKT01,577,356.6666667,10/25/2016 14:30,0.561945276
BHMBCCMKT01,577,348.3333333,10/25/2016 15:00,0.548815714
BHMBCCMKT01,577,287.5,10/25/2016 15:30,0.452969907
BHMBCCMKT01,577,249.5,10/25/2016 16:00,0.393099102
BHMBCCMKT01,577,141,10/25/2016 16:30,0.222152198
BHMBCCMKT01,577,58.33333333,10/26/2016 8:00,0.091906938
BHMBCCMKT01,577,60.66666667,10/26/2016 8:30,0.095583215
BHMBCCMKT01,577,78.5,10/26/2016 9:00,0.123680479
BHMBCCMKT01,577,97.5,10/26/2016 9:30,0.153615882
BHMBCCMKT01,577,116.5,10/26/2016 10:00,0.183551284
BHMBCCMKT01,577,142,10/26/2016 10:30,0.223727746
BHMBCCMKT01,577,170.5,10/26/2016 11:00,0.26863085
BHMBCCMKT01,577,190,10/26/2016 11:30,0.299354026
BHMBCCMKT01,577,201.5,10/26/2016 12:00,0.317472822
BHMBCCMKT01,577,218,10/26/2016 12:30,0.343469356
BHMBCCMKT01,577,237.5,10/26/2016 13:00,0.374192532
BHMBCCMKT01,577,252,10/26/2016 13:30,0.397037971
BHMBCCMKT01,577,263.5,10/26/2016 14:00,0.415156767
BHMBCCMKT01,577,259.5,10/26/2016 14:30,0.408854577
BHMBCCMKT01,577,245,10/26/2016 15:00,0.386009139
BHMBCCMKT01,577,225,10/26/2016 15:30,0.354498189
BHMBCCMKT01,577,201.3333333,10/26/2016 16:00,0.317210231
BHMBCCMKT01,577,190.6666667,10/26/2016 16:30,0.30040439
BHMBCCMKT01,577,56,10/27/2016 8:00,0.08823066
BHMBCCMKT01,577,58,10/27/2016 8:30,0.091381755
BHMBCCMKT01,577,76,10/27/2016 9:00,0.11974161
BHMBCCMKT01,577,83,10/27/2016 9:30,0.130770443
BHMBCCMKT01,577,109.5,10/27/2016 10:00,0.172522452
BHMBCCMKT01,577,138.5,10/27/2016 10:30,0.218213329
BHMBCCMKT01,577,169.6666667,10/27/2016 11:00,0.267317893
BHMBCCMKT01,577,179.3333333,10/27/2016 11:30,0.282548185
BHMBCCMKT01,577,214.5,10/27/2016 12:00,0.33795494
BHMBCCMKT01,577,234.5,10/27/2016 12:30,0.36946589
BHMBCCMKT01,577,255,10/27/2016 13:00,0.401764613
BHMBCCMKT01,577,263,10/27/2016 13:30,0.414368993
BHMBCCMKT01,577,279.5,10/27/2016 14:00,0.440365527
BHMBCCMKT01,577,273,10/27/2016 14:30,0.430124468
BHMBCCMKT01,577,264.5,10/27/2016 15:00,0.416732315
BHMBCCMKT01,577,252,10/27/2016 15:30,0.397037971
BHMBCCMKT01,577,233,10/27/2016 16:00,0.367102568
BHMBCCMKT01,577,141,10/27/2016 16:30,0.222152198
BHMBCCMKT01,577,61,10/28/2016 8:30,0.096108398
BHMBCCMKT01,577,65,10/28/2016 8:30,0.102410588
BHMBCCMKT01,577,84,10/28/2016 9:00,0.132345991
BHMBCCMKT01,577,111,10/28/2016 9:30,0.174885773
BHMBCCMKT01,577,123,10/28/2016 10:00,0.193792343
BHMBCCMKT01,577,183.5,10/28/2016 10:30,0.289112967
BHMBCCMKT01,577,213,10/28/2016 11:00,0.335591619
BHMBCCMKT01,577,240.6666667,10/28/2016 11:30,0.379181766
BHMBCCMKT01,577,251.3333333,10/28/2016 12:00,0.395987606
BHMBCCMKT01,577,268,10/28/2016 12:30,0.422246731
BHMBCCMKT01,577,267,10/28/2016 13:00,0.420671183
BHMBCCMKT01,577,282,10/28/2016 13:30,0.444304396
BHMBCCMKT01,577,289,10/28/2016 14:00,0.455333228
BHMBCCMKT01,577,287.3333333,10/28/2016 14:30,0.452707316
BHMBCCMKT01,577,284.6666667,10/28/2016 15:00,0.448505856
BHMBCCMKT01,577,264.6666667,10/28/2016 15:30,0.416994906
